gene,dn.asd,dn.nnd,p,classifier
CHD8,19,5,"0,006561595521115",ASD_P
SCN2A,22,26,"0,566301630040742",ASD_NDD
SYNGAP1,14,17,"0,595088086298732",ASD_NDD
ADNP,10,22,"0,034482407924756",ASD_NDD
FOXP1,9,14,"0,305717537376692",ASD_NDD
POGZ,8,14,"0,20847113310597",ASD_NDD
ARID1B,10,32,"0,000585164664883",ASD_NDD
SUV420H1,8,3,"0,226341149580738",ASD_P
DYRK1A,6,19,"0,009156401365093",ASD_NDD
SLC6A1,8,10,"0,646395863893409",ASD_NDD
GRIN2B,6,11,"0,236329581768024",ASD_NDD
PTEN,7,2,"0,179518461825356",ASD_P
SHANK3,10,2,"0,038479900859443",ASD_P
MED13L,5,19,"0,003979612560519",ASD_NDD
GIGYF1,4,0,"0,124935072381226",ASD_P
CHD2,8,10,"0,646395863893409",ASD_NDD
ANKRD11,5,33,"2,32405662041574E-06",ASD_NDD
ANK2,8,3,"0,226341149580738",ASD_P
ASH1L,6,3,"0,507640748330275",ASD_P
TLK2,5,6,"0,773646208347648",ASD_NDD
CTNNB1,4,15,"0,011589561755437",ASD_NDD
DEAF1,5,3,"0,726466364047924",ASD_P
KDM6B,5,2,"0,452981867572593",ASD_P
DSCAM,4,1,"0,374890942122403",ASD_P
SETD5,6,17,"0,022259118505805",ASD_NDD
KCNQ3,4,6,"0,547489996725706",ASD_NDD
SRPR,4,1,"0,374890942122403",ASD_P
KDM5B,8,3,"0,226341149580738",ASD_P
WAC,4,6,"0,547489996725706",ASD_NDD
SHANK2,4,1,"0,374890942122403",ASD_P
NRXN1,5,2,"0,452981867572593",ASD_P
TBL1XR1,3,7,"0,2251240101242",ASD_NDD
DNMT3A,7,6,1,ASD_NDD
MYT1L,4,7,"0,386142967590643",ASD_NDD
BCL11A,3,6,"0,342214247682614",ASD_NDD
RORB,3,0,"0,249934562513255",ASD_P
RAI1,4,4,1,ASD_NDD
DYNC1H1,8,13,"0,284591515553621",ASD_NDD
DPYSL2,3,0,"0,249934562513255",ASD_P
AP2S1,2,0,"0,499956046509346",ASD_P
KMT2C,8,5,"0,580835415913173",ASD_P
PAX5,2,0,"0,499956046509346",ASD_P
MKX,2,0,"0,499956046509346",ASD_P
GABRB3,3,4,"0,725680969245107",ASD_NDD
SIN3A,4,4,1,ASD_NDD
MBD5,2,3,"0,686520655163152",ASD_NDD
MAP1A,0,1,"0,498523040567152",ASD_P
STXBP1,3,14,"0,007382970454003",ASD_NDD
CELF4,3,0,"0,249934562513255",ASD_P
PHF12,2,2,1,ASD_NDD
TBR1,6,2,"0,288892079197985",ASD_P
PPP2R5D,4,17,"0,004243008864023",ASD_NDD
TM9SF4,1,0,1,ASD_P
PHF21A,2,1,1,ASD_P
PRR12,2,2,1,ASD_NDD
SKI,2,0,"0,499956046509346",ASD_P
ASXL3,2,18,"0,000214383646191",ASD_NDD
SPAST,2,1,1,ASD_P
SMARCC2,2,2,1,ASD_P
TRIP12,6,6,1,ASD_NDD
CREBBP,5,13,"0,062770212643159",ASD_NDD
TCF4,2,16,"0,000708434226998",ASD_NDD
CACNA1E,5,8,"0,422393746545017",ASD_NDD
GNAI1,2,5,"0,287571568739783",ASD_NDD
TCF20,3,10,"0,056660528111753",ASD_NDD
FOXP2,2,4,"0,451680583045011",ASD_NDD
NSD1,3,10,"0,056660528111753",ASD_NDD
TCF7L2,2,4,"0,451680583045011",ASD_NDD
LDB1,2,0,"0,499956046509346",ASD_P
EIF3G,3,0,"0,249934562513255",ASD_P
PHF2,2,0,"0,499956046509346",ASD_P
KIAA0232,2,0,"0,499956046509346",ASD_P
VEZF1,1,3,"0,373504559944535",ASD_NDD
GFAP,3,0,"0,249934562513255",ASD_P
IRF2BPL,2,2,1,ASD_NDD
ZMYND8,3,0,"0,249934562513255",ASD_P
SATB1,2,1,1,ASD_P
RFX3,2,0,"0,499956046509346",ASD_P
SCN1A,5,2,"0,452981867572593",ASD_P
PPP5C,3,0,"0,249934562513255",ASD_P
TRIM23,2,0,"0,499956046509346",ASD_P
TRAF7,3,4,"0,725680969245107",ASD_NDD
ELAVL3,2,0,"0,499956046509346",ASD_P
GRIA2,3,0,"0,249934562513255",ASD_P
LRRC4C,3,3,1,ASD_NDD
CACNA2D3,2,0,"0,499956046509346",ASD_P
NUP155,0,0,1,ASD_P
KMT2E,2,1,1,ASD_P
NR3C2,3,1,"0,624934072577904",ASD_NDD
NACC1,1,4,"0,217372756009822",ASD_NDD
PTK7,3,1,"0,624934072577904",ASD_P
PPP1R9B,3,0,"0,249934562513255",ASD_P
GABRB2,3,4,"0,725680969245107",ASD_NDD
HDLBP,3,1,"0,624934072577904",ASD_P
TAOK1,3,4,"0,725680969245107",ASD_NDD
UBR1,2,2,1,ASD_P
TEK,1,0,1,ASD_P
KCNMA1,3,2,1,ASD_P
CORO1A,2,0,"0,499956046509346",ASD_P
HECTD4,3,3,1,ASD_NDD
NCOA1,3,0,"0,249934562513255",ASD_P
DIP2A,3,0,"0,249934562513255",ASD_P
